transaction_id,timestamp,from_account_id,to_account_id,amount_inr,transaction_type,location_id,case_id
TX00001,2024-03-07 09:00:00,AC0001,AC0002,580000.00,IMPS,L001,C101
TX00002,2024-02-29 08:00:00,AC0002,AC0003,910000.00,NEFT,L001,C101
TX00003,2024-03-03 12:00:00,AC0003,AC0005,500000.00,IMPS,L001,C101
TX00004,2024-03-06 11:00:00,AC0005,AC0010,405000.00,NEFT,L001,C101
TX00005,2024-03-07 09:00:00,AC0010,AC0016,225000.00,IMPS,L001,C101
TX00006,2024-03-29 07:00:00,AC0002,AC0004,315000.00,NEFT,L001,C102
TX00007,2024-04-05 13:00:00,AC0004,AC0005,945000.00,IMPS,L001,C102
TX00008,2024-04-03 08:00:00,AC0005,AC0011,265000.00,NEFT,L001,C102
TX00009,2024-04-01 13:00:00,AC0011,AC0018,650000.00,IMPS,L001,C102
TX00010,2024-04-20 07:00:00,AC0005,AC0006,720000.00,NEFT,L001,C103
TX00011,2024-04-23 09:00:00,AC0006,AC0015,395000.00,IMPS,L001,C103
TX00012,2024-04-18 15:00:00,AC0015,AC0019,400000.00,NEFT,L001,C103
TX00013,2024-06-03 08:00:00,AC0003,AC0007,705000.00,IMPS,L001,C104
TX00014,2024-06-08 13:00:00,AC0007,AC0014,45000.00,NEFT,L001,C104
TX00015,2024-06-15 08:00:00,AC0014,AC0017,600000.00,IMPS,L001,C104
TX00016,2024-06-09 08:00:00,AC0017,AC0020,495000.00,NEFT,L001,C104
TX00017,2024-07-11 09:00:00,AC0008,AC0021,510000.00,IMPS,L001,C105
TX00018,2024-07-18 08:00:00,AC0021,AC0022,590000.00,NEFT,L001,C105
TX00019,2024-08-16 15:00:00,AC0004,AC0005,620000.00,IMPS,L001,C106
TX00020,2024-08-20 13:00:00,AC0005,AC0009,295000.00,NEFT,L001,C106
TX00021,2024-08-27 13:00:00,AC0009,AC0016,405000.00,IMPS,L001,C106
TX00022,2024-08-30 08:00:00,AC0003,AC0012,710000.00,NEFT,L001,C107
TX00023,2024-09-03 15:00:00,AC0012,AC0017,280000.00,IMPS,L001,C107
TX00024,2024-08-31 11:00:00,AC0017,AC0023,620000.00,NEFT,L001,C107
TX00025,2024-09-30 07:00:00,AC0013,AC0024,510000.00,IMPS,L001,C108
TX00026,2024-09-26 10:00:00,AC0024,AC0025,920000.00,NEFT,L001,C108
TX00027,2024-10-30 07:00:00,AC0005,AC0026,480000.00,IMPS,L001,C109
TX00028,2024-11-06 09:00:00,AC0026,AC0027,730000.00,NEFT,L001,C109
TX00029,2024-11-20 14:00:00,AC0003,AC0028,770000.00,IMPS,L001,C110
TX00030,2024-11-16 14:00:00,AC0028,AC0029,965000.00,NEFT,L001,C110
TX00031,2024-11-16 13:00:00,AC0029,AC0030,340000.00,IMPS,L001,C110
TX00032,2024-06-20 14:30:00,AC0003,AC0001,150000.00,RTGS,L001,
TX00033,2024-06-20 14:30:00,AC0003,AC0007,150000.00,RTGS,L001,
TX00034,2024-06-20 14:30:00,AC0003,AC0012,150000.00,RTGS,L001,
TX00035,2024-06-20 14:30:00,AC0003,AC0028,150000.00,RTGS,L001,
