address_id,line1,locality,city,state,postal_code
ADDR_00001,47 Industrial Road,Vashi,Mumbai,Maharashtra,462117
ADDR_00002,88 Lake View Road,Old Town,Delhi,Delhi,429988
ADDR_00003,97 Industrial Road,Kukatpally,Kochi,Kerala,504750
ADDR_00004,101 Station Road,Whitefield,Delhi,Delhi,737968
ADDR_00005,14 Industrial Road,T Nagar,Ranchi,Jharkhand,624837
ADDR_00006,40 Industrial Road,Andheri,Hyderabad,Telangana,575318
ADDR_00007,34 Main Street,Kukatpally,Raipur,Chhattisgarh,796617
ADDR_00008,101 Market Road,Aluva,Patna,Bihar,748239
ADDR_00009,96 Temple Street,Andheri,Jaipur,Rajasthan,298385
ADDR_00010,143 Temple Street,Industrial Area,Bengaluru,Karnataka,528580
ADDR_00011,198 MG Road,Kukatpally,Hyderabad,Telangana,637453
ADDR_00012,237 Main Street,Kukatpally,Indore,Madhya Pradesh,390559
ADDR_00013,141 Industrial Road,Kukatpally,Panaji,Goa,456190
ADDR_00014,49 Main Street,Vashi,Panaji,Goa,547183
ADDR_00015,162 Market Road,Andheri,Mumbai,Maharashtra,791843
ADDR_00016,71 Market Road,Andheri,Vijayawada,Andhra Pradesh,463990
ADDR_00017,154 Market Road,Andheri,Patna,Bihar,788331
ADDR_00018,17 Market Road,T Nagar,Chennai,Tamil Nadu,192578
ADDR_00019,240 Station Road,Sector 18,Kolkata,West Bengal,393868
ADDR_00020,145 Gandhi Nagar,Andheri,Raipur,Chhattisgarh,206162
ADDR_00021,133 Gandhi Nagar,Central,Ranchi,Jharkhand,532280
ADDR_00022,63 Industrial Road,Central,Panaji,Goa,303071
ADDR_00023,184 Market Road,Industrial Area,Patna,Bihar,313760
ADDR_00024,93 Station Road,Vashi,Ahmedabad,Gujarat,157895
ADDR_00025,195 Temple Street,Sector 18,Ahmedabad,Gujarat,614443
ADDR_00026,90 Temple Street,Old Town,Hyderabad,Telangana,824214
ADDR_00027,227 Temple Street,Sector 18,Noida,Uttar Pradesh,541518
ADDR_00028,164 Main Street,Whitefield,Bengaluru,Karnataka,810646
ADDR_00029,71 Station Road,Sector 18,Jaipur,Rajasthan,479226
ADDR_00030,180 Gandhi Nagar,Sector 18,Raipur,Chhattisgarh,232087
ADDR_00031,208 Market Road,Aluva,Chennai,Tamil Nadu,365512
ADDR_00032,154 MG Road,Civil Lines,Bhubaneswar,Odisha,164520
ADDR_00033,29 Lake View Road,Old Town,Patna,Bihar,272059
ADDR_00034,127 Temple Street,Madhapur,Delhi,Delhi,675622
ADDR_00035,114 Industrial Road,Old Town,Delhi,Delhi,773989
ADDR_00036,102 Lake View Road,Civil Lines,Kolkata,West Bengal,250046
ADDR_00037,35 MG Road,Whitefield,Vijayawada,Andhra Pradesh,104256
ADDR_00038,79 MG Road,Whitefield,Mumbai,Maharashtra,214276
ADDR_00039,13 Gandhi Nagar,Madhapur,Bhubaneswar,Odisha,768728
ADDR_00040,228 Market Road,Vashi,Chennai,Tamil Nadu,493003
ADDR_00041,94 Industrial Road,Vashi,Ahmedabad,Gujarat,786798
ADDR_00042,173 Station Road,Madhapur,Bhubaneswar,Odisha,111367
ADDR_00043,2 Main Street,T Nagar,Bengaluru,Karnataka,697246
ADDR_00044,71 Lake View Road,Civil Lines,Jaipur,Rajasthan,325480
ADDR_00045,143 Market Road,Whitefield,Raipur,Chhattisgarh,714955
ADDR_00046,189 MG Road,Industrial Area,Panaji,Goa,693195
ADDR_00047,152 MG Road,Sector 18,Ahmedabad,Gujarat,187768
ADDR_00048,75 MG Road,Sector 18,Indore,Madhya Pradesh,264669
ADDR_00049,41 Temple Street,Andheri,Bengaluru,Karnataka,680815
ADDR_00050,97 Lake View Road,Kukatpally,Kochi,Kerala,452657
ADDR_00051,46 Main Street,Civil Lines,Ahmedabad,Gujarat,561662
ADDR_00052,163 Industrial Road,Whitefield,Bengaluru,Karnataka,848656
ADDR_00053,64 Temple Street,Central,Hyderabad,Telangana,895450
ADDR_00054,31 Main Street,Old Town,Delhi,Delhi,465024
ADDR_00055,217 Lake View Road,Central,Noida,Uttar Pradesh,430657
