location_id,name,city,state,latitude,longitude
L001,Central Bank Branch Pune,Pune,Maharashtra,18.520430,73.856744
L002,Market Yard Market Street,Pune,Maharashtra,18.497500,73.868200
L003,Highway Toll Plaza Junction,Pune,Maharashtra,18.625100,73.801200
L004,Electronic City Cyber Hub,Bengaluru,Karnataka,12.845200,77.660200
L005,Suburban Sector 4 Residency,Bengaluru,Karnataka,12.934500,77.610100
L006,Industrial Area Logistics Park,Hyderabad,Telangana,17.439900,78.375500
L007,Revenue Sub-Registrar Office,Hyderabad,Telangana,17.385044,78.486671
L008,Logistics Hub Warehouse Sector 8,Jaipur,Rajasthan,26.912400,75.787300
L009,Transport Nagar Freight Depot,Jaipur,Rajasthan,26.891100,75.823400
L010,Civil Lines Financial Enclave,Jaipur,Rajasthan,26.905600,75.792200
