sighting_id,registration,timestamp,location,camera_id,direction,record_nonce
ANPR00018-000,MH02FF4567,2025-01-15T12:00:00+00:00,"LBS Marg, Kurla West",CAM-008,INBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-001,MH02GG8901,2025-01-15T14:00:00+00:00,"Express Highway Toll Plaza, Vashi",CAM-009,OUTBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-002,MH02HH2345,2025-01-15T16:00:00+00:00,"R City Mall, Ghatkopar West",CAM-000,INBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-003,MH02II6789,2025-01-15T18:00:00+00:00,Bandra-Worli Sea Link Toll,CAM-001,OUTBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-004,MH02JJ0123,2025-01-15T20:00:00+00:00,"Hotel Sahara Star, Vile Parle",CAM-002,INBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-005,MH02KK4567,2025-01-15T22:00:00+00:00,"Dharavi Redevelopment Site, Sector 4",CAM-003,OUTBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-006,MH02LL8901,2025-01-16T00:00:00+00:00,Chhatrapati Shivaji Maharaj International Airport,CAM-004,INBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-007,MH02MM2345,2025-01-16T02:00:00+00:00,Mumbai Central Railway Station,CAM-005,OUTBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-008,MH02NN6789,2025-01-16T04:00:00+00:00,Byculla Jail Visiting Area,CAM-006,INBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-009,MH02OO0123,2025-01-16T06:00:00+00:00,"Axis Bank Branch, Fort Area",CAM-007,OUTBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-010,MH02PP4567,2025-01-16T08:00:00+00:00,"HDFC Bank, Colaba Causeway",CAM-008,INBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-011,MH02QQ8901,2025-01-16T10:00:00+00:00,"ICICI Bank, Andheri Lokhandwala",CAM-009,OUTBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-012,MH02RR2345,2025-01-16T12:00:00+00:00,"SBI Main Branch, Ballard Estate",CAM-000,INBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-013,MH02SS6789,2025-01-16T14:00:00+00:00,"Yes Bank, BKC Branch",CAM-001,OUTBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-014,MH02TT0123,2025-01-16T16:00:00+00:00,"Kotak Mahindra, Lower Parel",CAM-002,INBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-015,MH02UU4567,2025-01-16T18:00:00+00:00,"Casino Paradise, Majestic Hotel",CAM-003,OUTBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-016,MH02VV8901,2025-01-16T20:00:00+00:00,"Garage Complex, Sewri",CAM-004,INBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-017,MH02WW2345,2025-01-16T22:00:00+00:00,"A-24, Antop Hill Slum Redevelopment",CAM-005,OUTBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-018,MH02XX6789,2025-01-17T00:00:00+00:00,"Film City, Goregaon East",CAM-006,INBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv
ANPR00018-019,MH02YY0123,2025-01-17T02:00:00+00:00,"Backbay Reclamation, Nariman Point",CAM-007,OUTBOUND,E-0018|CR-2002|evidence/CR-2002/CR-2002_ANPR_07.csv

# CrimeLink Demo Dataset v2 — SYNTHETIC data. Not real records.
